word,1,2,3
aahed,30,411,183
aalii,20,456,161
aargh,39,532,171
aarti,20,390,147
abaca,35,274,159
abaci,38,390,162
aback,51,312,120
abacs,33,425,166
abaft,47,481,165
abaka,41,353,163
abamp,48,312,150
aband,39,251,119
abase,22,174,94
abash,36,213,107
abask,39,273,126
abate,29,195,104
abaya,34,399,158
abbas,38,340,143
abbed,47,337,159
abbes,37,333,144
abbey,48,448,177
abbot,46,387,173
abcee,33,446,198
abeam,36,226,145
abear,26,185,106
abele,27,188,141
abers,24,216,103
abets,27,228,150
abhor,41,375,171
abide,35,294,126
abies,25,263,156
abled,36,235,109
abler,30,232,129
ables,26,231,96
ablet,33,289,138
ablow,48,308,146
abmho,51,594,200
abode,33,282,142
abohm,51,560,179
aboil,33,305,153
aboma,38,265,156
aboon,33,190,129
abord,36,302,133
abore,27,166,104
abort,33,276,122
about,38,290,128
above,44,350,133
abram,39,256,114
abray,36,321,123
abrim,42,318,141
abrin,36,233,133
abris,28,253,114
absey,31,376,175
absit,31,397,172
abuna,38,290,153
abune,37,260,155
abuse,29,250,130
abuts,35,306,152
abuzz,72,598,185
abyes,31,387,187
abysm,44,592,197
abyss,30,557,194
acais,21,200,170
acari,25,144,124
accas,28,333,169
accoy,40,480,184
acerb,36,349,135
acers,19,225,89
aceta,24,243,142
achar,35,131,81
ached,40,153,115
aches,30,149,114
achoo,35,168,99
acids,29,376,160
acidy,40,427,185
acing,43,304,120
acini,32,339,175
ackee,34,237,129
acker,37,202,103
acmes,29,331,151
acmic,45,431,177
acned,33,325,161
acnes,23,321,142
acock,47,331,150
acold,33,315,153
acorn,29,279,142
acred,29,189,105
acres,19,185,101
acrid,33,270,156
acros,21,221,114
acted,32,276,142
actin,34,344,157
acton,32,319,148
actor,28,320,152
acute,31,299,156
acyls,31,471,192
adage,31,326,150
adapt,34,424,178
adaws,34,434,164
adays,25,434,157
adbot,39,402,189
addax,48,523,186
added,33,277,160
adder,27,274,140
addio,30,501,177
addle,29,469,176
adeem,28,227,140
adept,33,407,153
adhan,37,313,165
adieu,27,407,171
adios,20,346,167
adits,24,216,129
adman,36,319,150
admen,35,335,163
admin,39,367,161
admit,38,407,177
admix,55,543,183
adobe,33,319,166
adobo,35,312,168
adopt,35,408,176
adore,20,151,115
adorn,27,296,143
adown,43,375,140
adoze,38,432,162
adrad,28,278,154
adred,27,214,115
adsum,35,352,162
aduki,44,497,193
adult,34,412,178
adunc,41,385,165
adust,28,248,160
advew,54,475,200
adyta,32,408,191
adzed,45,401,182
adzes,35,397,169
aecia,22,567,196
aedes,14,184,126
aegis,24,469,189
aeons,14,411,150
aerie,13,238,136
aeros,10,195,128
aesir,12,319,178
afald,39,446,180
afara,29,286,157
afars,27,343,124
afear,28,314,129
affix,69,596,166
afire,31,347,147
aflaj,52,510,171
afoot,34,392,162
afore,29,323,125
afoul,39,428,165
afrit,37,389,163
afros,28,363,135
after,33,344,126
again,33,210,139
agama,36,220,140
agami,39,269,137
agape,34,263,140
agars,24,217,111
agast,27,177,113
agate,28,197,116
agave,42,306,123
agaze,43,408,139
agene,28,195,114
agent,34,247,91
agers,23,220,77
agger,39,325,142
aggie,40,449,171
aggri,43,396,153
aggro,41,389,156
aggry,49,494,174
aghas,35,297,177
agila,31,265,162
agile,30,264,119
aging,47,284,110
agios,26,412,178
agism,37,415,168
agist,30,260,133
agita,32,288,168
aglee,26,279,135
aglet,32,301,146
agley,36,358,152
agloo,30,283,137
aglow,47,320,145
aglus,33,354,159
agmas,34,343,148
agoge,38,364,169
agone,30,210,109
agons,29,239,126
agony,40,337,151
agood,34,313,147
agora,27,196,129
agree,24,249,122
agria,29,340,145
agrin,35,235,138
agros,25,249,122
agued,38,366,166
agues,28,362,162
aguna,37,315,170
aguti,39,393,179
ahead,30,307,145
aheap,33,318,160
ahent,33,301,127
ahigh,53,533,165
ahind,40,338,139
ahing,46,304,102
ahint,37,317,126
ahold,36,403,153
ahull,38,435,155
ahuru,39,399,171
aidas,19,232,162
aided,28,149,108
aider,22,146,88
aides,18,145,86
aidoi,25,309,162
aidos,20,212,143
aiery,23,232,160
aigas,25,251,162
aight,45,540,152
ailed,24,100,64
aimed,32,175,138
aimer,26,172,125
ainee,17,113,81
ainga,33,177,73
aioli,21,293,174
aired,22,118,64
airer,16,115,97
airns,19,308,128
airth,33,291,133
airts,18,241,119
aisle,14,228,164
aitch,41,310,131
aitus,23,256,161
aiver,33,240,101
aiyee,20,430,197
aizle,36,466,198
ajies,31,451,172
ajiva,53,666,185
ajuga,52,598,187
ajwan,55,513,171
akees,22,181,99
akela,29,181,114
akene,30,183,101
aking,49,293,103
akita,34,297,162
akkas,40,426,172
alaap,25,292,158
alack,40,180,98
alamo,27,119,127
aland,28,119,83
alane,19,46,72
alang,34,85,58
alans,18,75,65
alant,25,98,63
alapa,25,138,130
alaps,23,169,119
alarm,28,192,98
alary,25,138,102
alate,18,63,70
alays,21,284,112
albas,27,288,158
albee,27,317,191
album,48,404,193
alcid,35,444,189
alcos,23,277,174
aldea,21,222,164
alder,23,193,138
aldol,27,274,170
aleck,39,241,120
alecs,21,354,141
alefs,28,327,134
aleft,35,363,132
aleph,37,326,134
alert,20,132,101
alews,29,321,125
aleye,21,255,127
alfas,29,341,190
algae,27,437,186
algal,32,290,168
algas,26,291,169
algid,39,417,192
algin,37,354,182
algor,31,320,179
algum,47,430,185
alias,15,162,140
alibi,35,322,163
alien,22,123,138
alifs,32,326,152
align,37,378,157
alike,32,219,125
aline,22,68,63
alist,20,83,101
alive,35,230,110
aliya,26,403,168
alkie,32,376,177
alkos,29,361,178
alkyd,47,513,178
alkyl,43,459,174
allay,27,201,123
allee,16,128,119
allel,21,117,149
alley,26,207,136
allis,19,142,133
allod,27,215,142
allot,24,165,125
allow,37,169,122
alloy,28,269,143
allyl,31,327,114
almah,39,381,166
almas,24,231,127
almeh,38,434,174
almes,23,227,125
almud,41,455,171
almug,47,464,172
alods,21,209,153
aloed,22,201,165
aloes,12,197,164
aloft,37,372,164
aloha,28,256,173
aloin,24,160,148
alone,20,66,95
along,35,105,114
aloof,33,231,123
aloos,14,85,126
aloud,30,220,151
alowe,32,182,114
alpha,38,402,178
altar,21,178,148
alter,20,167,124
altho,33,263,166
altos,18,224,165
alula,25,174,172
alums,31,278,148
alure,22,123,133
alvar,35,343,171
alway,41,415,189
amahs,33,391,161
amain,31,124,120
amass,18,211,93
amate,26,111,99
amaut,34,242,150
amaze,41,322,128
amban,43,241,141
amber,38,237,135
ambit,45,329,149
amble,40,314,143
ambos,36,256,136
ambry,48,408,173
ameba,36,289,139
ameer,22,109,106
amend,35,183,80
amene,26,110,84
amens,25,139,73
ament,32,162,61
amias,23,236,149
amice,34,258,119
amici,38,335,142
amide,32,210,108
amido,34,250,144
amids,31,253,130
amies,22,179,138
amiga,39,307,157
amigo,40,328,158
amine,30,142,74
amino,32,211,122
amins,29,171,96
amirs,25,238,127
amiss,21,277,138
amity,39,249,149
amlas,24,287,153
amman,40,245,126
ammon,41,287,158
ammos,33,298,162
amnia,31,468,188
amnic,41,413,173
amnio,32,523,191
amoks,37,266,169
amole,26,152,125
among,43,175,131
amort,30,230,136
amour,32,182,145
amove,41,304,137
amowt,46,374,176
amped,40,198,136
ample,36,322,156
amply,46,400,164
ampul,44,349,153
amrit,32,331,180
amuck,55,399,155
amuse,26,215,127
amyls,33,403,187
anana,22,114,93
anata,21,111,140
ancho,40,219,120
ancle,29,297,159
ancon,33,209,147
andro,27,253,142
anear,17,59,85
anele,18,62,126
anent,26,117,100
angas,28,136,96
angel,33,156,112
anger,31,132,87
angle,33,217,110
anglo,35,229,117
angry,41,301,135
angst,33,193,92
anigh,46,395,152
anile,22,146,125
anils,21,185,148
anima,31,216,159
anime,30,221,143
animi,34,265,165
anion,26,283,164
anise,16,141,132
anker,33,155,110
ankhs,43,487,158
ankle,35,338,157
ankus,37,336,153
anlas,18,239,147
annal,26,212,148
annas,20,213,136
annat,27,235,154
annex,43,326,164
annoy,32,408,175
annul,33,392,176
anoas,15,227,171
anode,24,232,144
anole,20,148,131
anomy,38,345,169
ansae,13,275,141
antae,20,257,134
antar,23,104,106
antas,19,111,107
anted,28,96,95
antes,18,92,76
antic,34,214,116
antis,22,184,119
antra,23,180,102
antre,22,178,115
antsy,28,233,91
anura,25,207,151
anvil,42,383,190
anyon,32,335,190
aorta,18,363,159
apace,30,281,136
apage,34,276,137
apaid,32,239,151
apart,28,234,99
apayd,38,438,169
apays,28,384,142
apeak,36,245,122
apeek,35,325,123
apers,20,173,53
apert,27,224,87
apery,31,228,94
apgar,37,367,183
aphid,45,396,184
aphis,35,353,178
apian,30,273,166
aping,44,220,90
apiol,29,363,174
apish,35,234,155
apism,34,351,160
apnea,26,354,188
apode,29,283,140
apods,28,326,157
apoop,34,274,131
aport,29,277,130
appal,36,293,138
appay,41,393,157
appel,35,301,157
apple,35,404,163
apply,45,482,171
appro,35,371,141
appui,42,516,178
appuy,48,576,178
apres,20,196,110
apron,30,221,118
apses,16,164,117
apsis,20,280,159
apsos,18,260,162
apted,33,272,145
apter,27,269,126
aptly,39,557,183
aquae,39,689,171
aquas,38,543,165
araba,27,158,143
araks,26,157,150
arame,23,79,90
arars,12,71,111
arbas,25,250,144
arbor,30,253,156
arced,29,287,168
archi,38,298,131
arcos,21,262,162
arcus,27,354,167
ardeb,34,330,141
ardor,23,223,132
ardri,25,301,146
aread,19,101,69
areae,10,190,90
areal,15,43,57
arear,13,37,35
areas,9,44,62
areca,21,190,102
aredd,27,191,67
arede,18,34,48
arefy,37,376,123
areic,24,187,113
arena,17,73,82
arene,16,43,76
arepa,22,185,111
arere,12,9,68
arete,15,76,94
arets,14,80,90
arett,21,191,99
argal,30,241,149
argan,32,240,148
argil,33,334,162
argle,29,323,149
argol,31,296,156
argon,33,270,145
argot,32,315,152
argue,32,442,162
argus,31,341,159
arhat,30,276,189
arias,13,141,140
ariel,18,109,124
ariki,34,281,162
arils,17,105,124
ariot,21,248,158
arise,12,61,93
arish,26,100,110
arked,35,199,123
arled,23,179,126
arles,13,175,113
armed,31,206,147
armer,25,203,134
armet,28,260,153
armil,31,281,158
armor,27,247,156
arnas,16,209,146
arnut,30,407,172
aroba,28,200,158
aroha,26,240,173
aroid,24,207,151
aroma,25,133,142
arose,10,55,77
arpas,21,251,164
arpen,28,251,164
arrah,27,298,143
arras,12,148,110
array,23,247,130
arret,18,195,139
arris,15,179,115
arrow,33,211,129
arroz,35,338,158
arsed,17,82,91
arses,7,78,71
arsey,18,193,110
arsis,11,194,130
arson,17,163,121
artal,21,146,109
artel,20,153,135
artic,30,250,134
artis,18,220,137
artsy,24,269,122
aruhe,31,354,195
arums,29,269,149
arval,35,338,172
arvee,29,276,175
arvos,30,390,187
aryls,23,325,173
asana,14,130,148
ascon,25,186,141
ascot,24,231,160
ascus,23,289,158
asdic,29,375,183
ashed,28,118,128
ashen,26,132,125
