letter,total,percent,score
a,33568,0.10544038,0
e,31200,0.09800226,1
s,26148,0.08213343,2
o,20876,0.06557356,3
r,20572,0.06461867,4
i,20268,0.06366378,5
l,16984,0.05334841,6
t,16756,0.05263224,7
n,16172,0.05079784,8
u,13444,0.04222892,9
d,11244,0.03531851,10
c,10976,0.03447669,11
y,10084,0.03167483,12
m,9976,0.03133559,13
p,9196,0.02888554,14
h,9136,0.02869707,15
b,8356,0.02624702,16
g,7884,0.02476442,17
k,6972,0.02189974,18
f,4952,0.01555472,19
w,4684,0.0147129,20
v,3512,0.01103154,21
z,1896,0.00595552,22
j,1504,0.00472421,23
x,1444,0.00453575,24
q,556,0.00174645,25
er,3656,0.01435482,0
ar,3568,0.0140093,1
an,3368,0.01322402,2
es,3076,0.01207752,3
in,3044,0.01195188,4
re,3044,0.01195188,4
al,2988,0.011732,5
ra,2876,0.01129225,6
le,2532,0.00994158,7
la,2472,0.00970599,8
ed,2260,0.0088736,9
as,2232,0.00876366,10
en,2184,0.0085752,11
ri,2080,0.00816686,12
or,2076,0.00815115,13
on,2048,0.00804121,14
te,2048,0.00804121,14
st,2028,0.00796268,15
ma,1984,0.00778992,16
ro,1984,0.00778992,16
se,1956,0.00767998,17
ta,1940,0.00761716,18
ch,1896,0.0074444,19
el,1868,0.00733446,20
ha,1804,0.00708318,21
at,1784,0.00700465,22
li,1724,0.00676907,23
un,1724,0.00676907,23
lo,1716,0.00673766,24
is,1712,0.00672195,25
ne,1696,0.00665913,26
co,1660,0.00651778,27
ur,1660,0.00651778,27
us,1648,0.00647066,28
ca,1636,0.00642355,29
de,1632,0.00640784,30
am,1596,0.00626649,31
il,1556,0.00610944,32
na,1556,0.00610944,32
ba,1544,0.00606232,33
et,1512,0.00593668,34
me,1456,0.0057168,35
ve,1444,0.00566968,36
pa,1440,0.00565398,37
ea,1428,0.00560686,38
be,1400,0.00549692,39
os,1396,0.00548122,40
ic,1392,0.00546551,41
ee,1356,0.00532416,42
it,1356,0.00532416,42
ol,1352,0.00530846,43
oo,1344,0.00527704,44
sa,1344,0.00527704,44
he,1328,0.00521422,45
pe,1316,0.00516711,46
ke,1312,0.0051514,47
ho,1304,0.00511999,48
ts,1288,0.00505717,49
sh,1276,0.00501005,50
ir,1252,0.00491582,51
to,1240,0.0048687,52
ai,1236,0.004853,53
ad,1224,0.00480588,54
ot,1224,0.00480588,54
ga,1196,0.00469594,55
bo,1188,0.00466453,56
ac,1168,0.004586,57
id,1156,0.00453889,58
mo,1152,0.00452318,59
ge,1140,0.00447606,60
mi,1140,0.00447606,60
th,1132,0.00444465,61
ou,1124,0.00441324,62
ng,1104,0.00433472,63
ti,1104,0.00433472,63
um,1064,0.00417766,64
di,1060,0.00416196,65
ul,1060,0.00416196,65
nt,1052,0.00413054,66
ru,1032,0.00405202,67
hi,1028,0.00403631,68
ie,1028,0.00403631,68
ni,1024,0.00402061,69
ll,1016,0.00398919,70
pi,1012,0.00397349,71
da,1004,0.00394208,72
do,1000,0.00392637,73
ia,992,0.00389496,74
wa,988,0.00387926,75
ap,980,0.00384785,76
no,976,0.00383214,77
au,972,0.00381643,78
ab,956,0.00375361,79
ns,956,0.00375361,79
ly,948,0.0037222,80
ut,924,0.00362797,81
po,920,0.00361226,82
ag,916,0.00359656,83
si,916,0.00359656,83
ty,912,0.00358085,84
nd,892,0.00350232,85
ow,872,0.0034238,86
ce,868,0.00340809,87
lu,868,0.00340809,87
ak,860,0.00337668,88
ck,840,0.00329815,89
im,840,0.00329815,89
ka,836,0.00328245,90
ls,832,0.00326674,91
rs,832,0.00326674,91
tr,832,0.00326674,91
om,828,0.00325104,92
so,828,0.00325104,92
bi,820,0.00321963,93
go,816,0.00320392,94
ry,784,0.00307828,95
bu,780,0.00306257,96
ks,756,0.00296834,97
we,748,0.00293693,98
em,732,0.0028741,99
vi,732,0.0028741,99
cr,728,0.0028584,100
op,728,0.0028584,100
